time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
90150,1.634043,8.333019,4.950012,0.169470,0.593145,0.123905
90250,2.454057,6.959944,5.218163,0.175332,-0.138294,0.179596
90350,3.286042,7.103596,4.770447,-0.030110,0.294441,0.265130
90450,2.924517,6.703765,4.759673,-0.233155,0.460181,0.130567
90550,4.074931,7.935582,4.432865,-0.362123,0.005596,0.058888
90650,4.378995,8.204929,4.912902,-0.102322,-0.098591,0.161476
90750,2.929306,6.554127,8.137892,-0.178263,-1.027746,-0.138560
90850,4.356250,8.167819,7.113173,0.418879,-0.542518,-0.207841
90950,3.435679,5.651513,6.326678,0.097525,0.327749,-0.066083
91050,3.454833,6.101623,5.191826,-0.024515,-0.473770,-0.156147
91150,4.613626,5.914876,4.856638,0.209706,0.214502,-0.149219
91251,4.061763,6.928820,6.288371,0.097525,-0.068747,-0.097259
91350,5.461174,7.117962,6.319495,0.011191,-0.255271,-0.166806
91450,2.943671,9.722853,4.681861,0.072211,0.036505,-0.348266
91550,0.867898,7.505822,8.564059,-0.119908,0.235286,0.014123
91650,2.591723,7.618350,3.452439,0.008793,-0.307498,-0.006928
91750,2.699462,7.074866,5.358223,-0.145222,-0.236885,-0.013323
91850,3.992331,6.672640,4.813542,-0.234221,0.142025,-0.122040
91950,3.229778,8.265982,5.026627,-0.422610,0.023449,-0.001599
92050,5.312734,7.266402,4.799177,-0.195317,-0.238484,-0.025847
92150,3.925294,7.656657,8.275558,-0.292309,-0.969657,-0.110049
92250,2.995146,8.471883,7.046135,0.518802,-0.357859,-0.182793
92350,3.271677,5.252879,7.852982,-0.137495,0.354662,0.125770
92450,3.126827,5.003881,3.675100,0.296306,0.260067,-0.041835
92550,3.527856,6.335058,5.849035,0.333345,-0.085002,-0.000799
92650,4.454412,7.113173,6.974309,0.179596,-0.044233,0.088466
92750,6.190208,6.803124,4.066552,0.225161,-0.193185,-0.002665
92850,1.277307,11.413159,7.696161,-0.083136,0.357326,0.023182
92950,1.740585,7.238869,7.758410,-0.099657,-0.076208,-0.010126
93050,3.123236,7.456741,2.582147,0.068214,-0.172401,-0.087400
93150,2.007538,7.175423,5.910087,-0.163075,-0.323752,-0.109516
93250,4.218584,6.688202,4.825513,-0.238217,-0.055957,-0.183593
93350,3.476381,7.785944,5.203797,-0.297639,-0.067681,-0.086067
93450,4.971560,7.879318,4.181473,-0.021051,-0.379443,-0.062086
93550,2.196680,6.153099,10.900801,-0.354928,-1.273424,-0.362655
93650,4.055778,8.185776,6.876147,0.264064,-0.561703,-0.484429
93750,2.480393,5.355829,6.124368,-0.142291,0.226493,-0.250475
93850,3.628413,6.199785,4.416105,0.239816,-0.410619,-0.251008
93950,4.079720,6.405687,4.835090,0.202245,-0.342671,-0.244346
94050,3.034651,7.582437,7.250840,0.026380,-0.349599,-0.208907
94150,6.193800,7.648277,5.340267,-0.017054,-0.976851,-0.355461
94250,2.193089,8.962694,5.076905,-0.004796,-0.001599,-0.459648
94350,1.189918,8.808268,7.082048,-0.244879,-0.120175,-0.149752
94450,2.419341,7.578846,2.946065,-0.069280,-0.804184,-0.407155
94550,2.898181,7.904457,5.045780,-0.074343,-0.903041,-0.608600
94650,4.290410,7.738060,5.313931,-0.297106,-0.780469,-0.442328
94750,4.098873,7.588422,4.979939,-0.372248,-0.057023,-0.225161
94850,3.441665,7.900866,4.213795,-0.370916,0.095660,-0.003198
94950,5.293580,9.457097,3.904943,-0.025047,-0.087133,0.171602
95050,1.456872,7.796718,7.248446,0.595544,0.389035,0.502815
95150,4.247314,6.811504,7.267599,0.217433,-0.734904,0.027179
95250,3.021482,7.176620,5.157111,0.136962,0.997103,0.591813
95350,2.712631,6.692991,5.485116,0.083403,0.138560,0.311761
95450,3.968389,6.913258,4.556166,0.377044,0.315225,0.215302
95550,3.942053,6.991069,5.895722,0.310962,0.209440,0.225427
95650,5.689820,7.495049,4.346673,0.375979,0.087400,0.207308
95750,2.894590,10.218452,7.918822,0.224361,0.611798,0.372781
95850,3.141193,5.780800,5.692214,0.147354,-0.199580,-0.073810
95950,2.254141,8.900445,4.729745,0.108983,1.181228,0.420211
96050,2.263718,7.748834,3.960010,0.175865,0.363188,0.184925
96150,2.020706,8.027759,5.000290,0.116444,0.171335,0.131899
96250,3.106477,8.131907,5.213374,-0.000266,0.257936,0.136962
96350,3.709816,7.358579,4.701015,0.076741,0.256870,0.143357
96450,3.478775,7.912837,5.916072,-0.118576,0.604070,0.396230
96550,3.400964,8.060080,4.463989,0.073277,0.533191,0.396230
96650,2.243367,8.452729,7.492654,-0.150018,-0.114579,0.278187
96750,2.224213,6.730101,5.193024,0.168138,0.151884,0.328548
96850,2.507926,7.214927,7.782352,0.198515,0.234487,0.501749
96950,3.612850,6.678626,5.655105,0.292576,0.399161,0.617926
97050,3.101688,7.090428,6.113594,0.450588,0.750092,0.785265
97150,3.755305,6.941988,6.129156,0.495887,0.706925,0.834028
97250,4.219780,6.866570,5.680243,0.652300,0.977384,0.888652
97350,3.819949,7.807492,6.186617,0.703461,1.133798,0.923825
97450,3.828329,6.542156,5.507861,0.734104,1.360025,0.781268
97550,3.286042,7.618350,5.576096,0.880925,1.289145,0.710389
97650,2.369063,8.820239,5.021838,0.573161,0.853479,0.467375
97750,2.522291,7.870938,5.124789,0.642175,1.638744,0.752757
97850,2.458845,8.984241,2.906561,0.560637,1.149253,0.733038
97950,2.375048,8.880095,4.774038,0.429271,0.881724,0.747427
98050,2.557007,8.676587,4.023456,0.329614,1.071712,0.693868
98150,2.413355,9.063251,4.070143,0.342671,0.977917,0.648037
98250,2.523489,8.504205,4.096479,0.138294,0.993372,0.601939
98350,2.683900,8.902839,4.231751,-0.012524,0.873197,0.586750
98450,2.389413,8.882488,4.011485,-0.190254,0.807115,0.493222
98550,1.453280,9.334992,5.948394,0.010658,0.317090,0.397296
98650,2.673126,7.302315,5.685032,-0.176132,-0.107384,0.244346
98750,2.387019,4.960786,7.465121,0.093795,0.081538,0.340806
98850,1.958457,6.452374,7.678205,0.536123,-0.120708,0.383173
98950,3.499126,6.661866,5.785588,0.417014,0.891850,0.452986
99050,2.681506,7.788338,6.263232,0.379975,0.277654,0.492956
99150,3.575740,6.927623,5.231331,0.300570,0.331479,0.390634
99250,3.145981,7.131130,4.133589,0.280319,0.084469,0.345868
99350,3.732560,7.934384,6.728904,0.180928,0.059688,0.248609
99450,5.705383,7.349002,5.780800,0.278187,0.018919,0.193185
99550,2.709039,8.571242,2.823961,0.071678,-0.225694,-0.194784
99650,1.669956,8.707711,7.600393,0.034374,0.556907,0.474037
99750,2.485181,7.878121,4.276044,0.183859,-0.275256,0.108184
99850,3.045424,7.607576,5.313931,0.049828,0.056490,0.164141
99950,3.116054,7.881712,4.590882,-0.139093,0.110848,0.076741
100050,3.648763,7.581240,5.096058,-0.403424,-0.036239,-0.026380
100150,3.576937,8.450335,3.939659,-0.137228,0.054891,-0.030643
100250,4.886566,9.446322,6.855796,-0.144956,-0.810579,-0.176132
100350,2.263718,7.082048,5.043386,0.547847,0.349332,0.199847
100450,3.402161,5.579687,10.564415,-0.220897,-0.264597,0.118842
100550,2.862268,6.607996,4.288015,0.162542,0.168671,0.013323
100650,3.315969,6.578069,6.833052,-0.091130,-0.189988,0.164407
100750,3.849876,6.455965,6.357802,-0.091930,-0.001599,0.128435
100850,3.731363,5.961562,5.352238,0.077541,0.207308,0.125237
100950,5.431247,5.825093,6.934805,0.152683,0.030643,0.027179
101050,5.495890,6.071695,5.681441,0.217700,0.438331,0.111914
101150,1.139640,11.613075,7.474698,0.081804,0.003730,0.227026
101250,2.966416,5.695806,7.892486,0.139093,-0.188655,-0.145222
101350,2.491167,9.053674,3.507505,0.306165,0.272325,0.216368
101450,2.443283,6.439206,6.539762,0.164141,-0.156147,-0.083669
101550,2.825158,7.479486,4.924873,0.027179,0.067149,0.005063
101650,3.934870,7.162254,5.781997,-0.162009,0.122306,-0.007727
101750,3.682282,7.467515,5.273229,-0.064217,0.451387,0.271259
101850,4.465186,7.235278,4.940435,-0.145755,0.038904,0.154548
101950,3.988740,8.716091,7.277176,-0.196916,-0.456184,0.115645
102050,1.932121,6.961142,5.797559,0.632315,-0.094061,0.069813
102150,3.414132,6.416461,8.146272,0.275256,0.098058,0.209972
102250,3.414132,6.578069,4.606444,0.314692,0.466309,0.295507
102350,2.956839,7.325060,5.416882,0.350665,0.159611,0.319222
102450,4.252102,6.891710,4.328717,0.164940,0.025580,0.118842
102550,3.986346,7.682993,6.714539,0.190787,0.289645,0.122306
102650,6.484695,7.428011,6.752846,0.267795,-0.318689,0.124172
102750,3.320758,7.784747,4.321534,-0.015455,-0.110049,-0.045299
102850,1.659182,8.518570,5.100847,0.226760,0.601406,0.258735
102950,2.367866,7.354988,5.425261,0.191320,-0.328282,-0.034907
