Epoch_TimeStamp,temperature
1678048260000,23.375
1678048320000,23.25
1678048380000,23.125
1678048440000,23.125
1678048500000,23.063
1678048560000,23.125
1678048620000,23.188
1678048680000,23.25
1678048740000,23.188
1678048800000,23.25
1678048860000,23.313
1678048920000,23.188
1678048980000,23.313
1678049040000,23.25
1678049100000,23.125
1678049160000,23.063
1678049220000,22.938
1678049280000,22.75
1678049340000,22.75
1678049400000,22.75
1678049460000,22.688
1678049520000,22.625
1678049580000,22.688
1678049640000,22.75
1678049700000,22.688
1678049760000,22.688
1678049820000,22.75
1678049880000,22.688
1678049940000,22.563
1678050000000,22.625
1678050060000,22.5
1678050120000,22.563
1678050180000,22.563
1678050240000,22.5
1678050300000,22.5
1678050360000,22.5
1678050420000,22.5
1678050480000,22.5
1678050540000,22.5
1678050600000,22.438
1678050660000,22.5
1678050720000,22.438
1678050780000,22.438
1678050840000,22.438
1678050900000,22.375
1678050960000,22.313
1678051020000,22.313
1678051080000,22.438
1678051140000,22.438
1678051200000,22.375
1678051260000,22.375
1678051320000,22.438
1678051380000,22.438
1678051440000,22.375
1678051500000,22.375
1678051560000,22.313
1678051620000,22.375
1678051680000,22.375
1678051740000,22.313
1678051800000,22.375
1678051860000,22.375
1678051920000,22.375
1678051980000,22.313
1678052040000,22.438
1678052100000,22.375
1678052160000,22.375
1678052220000,22.438
1678052280000,22.438
1678052340000,22.375
1678052400000,22.313
1678052460000,22.313
1678052520000,22.375
1678052580000,22.375
1678052640000,22.313
1678052700000,22.313
1678052760000,22.313
1678052820000,22.313
1678052880000,22.313
1678052940000,22.5
1678053000000,22.438
1678053060000,22.438
1678053120000,22.438
1678053180000,22.5
1678053240000,22.438
1678053300000,22.438
1678053360000,22.375
1678053420000,22.5
1678053480000,22.5
1678053540000,22.5
1678053600000,22.438
1678053660000,22.5
1678053720000,22.563
1678053780000,22.688
1678053840000,22.813
1678053900000,22.813
1678053960000,22.75
1678054020000,22.75
1678054080000,22.75
1678054140000,22.75
1678054200000,22.75
1678054260000,22.75
1678054320000,22.75
1678054380000,22.75
1678054440000,22.813
1678054500000,22.75
1678054560000,22.813
1678054620000,22.813
1678054680000,22.75
1678054740000,22.688
1678054800000,22.688
1678054860000,22.75
1678054920000,22.813
1678054980000,22.875
1678055040000,22.938
1678055100000,23
1678055160000,23
1678055220000,23.063
1678055280000,23.063
1678055340000,23
1678055400000,23
1678055460000,23
1678055520000,23
1678055580000,23
1678055640000,23
1678055700000,23
1678055760000,23.063
1678055820000,23
1678055880000,23.063
1678055940000,23
1678056000000,23
1678056060000,23.125
1678056120000,23.063
1678056180000,23.063
1678056240000,23.063
1678056300000,23
1678056360000,23
1678056420000,23
1678056480000,23
1678056540000,23.063
1678056600000,23.063
1678056660000,23
1678056720000,23.125
1678056780000,23.063
1678056840000,23.063
1678056900000,23.063
1678056960000,23
1678057020000,23
1678057080000,22.938
1678057140000,23
1678057200000,23.063
1678057260000,23
1678057320000,23.063
1678057380000,23
1678057440000,23
1678057500000,23.125
1678057560000,23
1678057620000,23.125
1678057680000,23.063
1678057740000,23.063
1678057800000,23.063
1678057860000,23.125
1678057920000,23.063
1678057980000,23.063
1678058040000,23.063
1678058100000,23
1678058160000,23
1678058220000,23.063
1678058280000,23.063
1678058340000,23.063
1678058400000,23.063
1678058460000,23.063
1678058520000,23.063
1678058580000,23.063
1678058640000,23.125
1678058700000,23.125
1678058760000,23.188
1678058820000,23.25
1678058880000,23.188
1678058940000,23.25
1678059000000,23.25
1678059060000,23.25
1678059120000,23.25
1678059180000,23.313
1678059240000,23.313
1678059300000,23.313
1678059360000,23.25
1678059420000,23.25
1678059480000,23.25
1678059540000,23.25
1678059600000,23.25
1678059660000,23.313
1678059720000,23.313
